imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt8186318,Overcomer,119 min,"After reluctantly agreeing to coach cross-country, high school basketball Coach John Harrison helps the least likely runner attempt the impossible in the biggest race of the year.",PG,"5,843",23.835,6.7,56.0,17.0,5000000,38026103,True,Alex Kendrick, Priscilla C. Shirer, Cameron Arnett,Drama, Family, Sport,Alex Kendrick,,2019,False
tt0371606,Chicken Little,81 min,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",G,"102,001",36.824,5.7,37.0,48.0,150000000,314400000,True,Zach Braff, Joan Cusack, Garry Marshall,Animation, Adventure, Comedy,Mark Dindal,,2005,False
tt1560220,Zombieland: Double Tap,99 min,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",R,"207,348",27.829,6.7,68.0,55.0,42000000,122800000,True,Woody Harrelson, Jesse Eisenberg, Emma Stone,Action, Comedy, Horror,Ruben Fleischer,,2019,False
tt5562070,Wish Dragon,98 min,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,PG,"34,265",34.83,7.2,68.0,59.0,0,25860000,True,Jimmy Wong, John Cho, Constance Wu,Animation, Adventure, Comedy,Chris Appelhans,,2021,False
tt0111686,New Nightmare,112 min,Cast and crew from A Nightmare on Elm Street are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.,R,"65,091",28.316,6.4,79.0,64.0,8000000,18090181,True,Heather Langenkamp, Robert Englund, Jf Davis,Fantasy, Horror, Mystery,Wes Craven,,1994,True
tt5635026,Peter Pan & Wendy,106 min,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",PG,"28,420",30.103,4.4,65.0,61.0,0,0,False,Alexander Molony, Ever Anderson, Jude Law,Action, Adventure, Comedy,David Lowery,,2023,False
tt5606664,Doctor Sleep,152 min,"Still scarred by the trauma he endured as a child at the Overlook Hotel, Dan Torrance faces the ghosts of the past when he meets Abra, a courageous teen who desperately needs his help -- and who possesses a powerful extrasensory ability called the ""shine"".",R,"221,642",30.072,7.3,78.0,59.0,45000000,72381712,True,Ewan McGregor, Rebecca Ferguson, Kyliegh Curran,Drama, Fantasy, Horror,Mike Flanagan,,2019,False
tt1098327,Dragonball Evolution,85 min,"On his 18th birthday, Goku receives a mystical Dragonball as a gift from his grandfather. There are only six others like it in the whole world, and legend has it that whoever possesses all seven will be granted one perfect wish. When the arrival of a dark force triggers a tragedy, Goku and his companions are propelled into an epic quest to collect the seven Dragonballs and save the Earth from destruction.",PG,"80,027",40.063,2.5,14.0,45.0,30000000,58228460,True,Justin Chatwin, James Marsters, Chow Yun-Fat,Action, Adventure, Fantasy,James Wong,,2009,False
tt0299658,Chicago,113 min,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,PG-13,"245,104",33.561,7.2,86.0,81.0,45000000,306776732,True,Renée Zellweger, Catherine Zeta-Jones, Richard Gere,Comedy, Crime, Musical,Rob Marshall,,2002,True
tt3369806,Max,111 min,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,PG,"28,504",26.563,6.6,37.0,47.0,20000000,44000000,True,Thomas Haden Church, Josh Wiggins, Luke Kleintank,Adventure, Drama, Family,Boaz Yakin,,2015,False
tt1179056,A Nightmare on Elm Street,91 min,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",R,"266,377",32.054,7.4,95.0,76.0,35000000,115664037,True,Heather Langenkamp, Johnny Depp, Robert Englund,Horror,,,Wes Craven,,2010,True
tt0427229,Failure to Launch,97 min,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, an active dating life, and a great house - trouble is, he still lives with his parents, Al and Sue, who are not happy about it. Al and Sue are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to help. In desperation to push Tripp out of the nest once and for all, Al and Sue hatch a plan to hire Paula, an ""interventionist,"" who has a formula in these cases.",PG-13,"87,968",25.059,5.6,23.0,47.0,50000000,130224158,True,Matthew McConaughey, Sarah Jessica Parker, Kathy Bates,Comedy, Romance,,Tom Dey,,2006,False
tt2243537,A Haunted House,86 min,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",R,"50,509",43.811,5.0,10.0,20.0,2500000,60141683,True,Marlon Wayans, Essence Atkins, Marlene Forte,Comedy, Fantasy, Horror,Michael Tiddes,,2013,False
tt4765284,Pitch Perfect 3,93 min,"After the highs of winning the world championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance to reunite for an overseas USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.",PG-13,"72,842",28.063,5.8,28.0,40.0,45000000,185400345,True,Anna Kendrick, Rebel Wilson, Brittany Snow,Comedy, Music,,Trish Sie,,2017,False
tt2388771,Mowgli: Legend of the Jungle,104 min,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",PG-13,"66,080",30.312,6.5,51.0,51.0,175000000,0,False,Christian Bale, Cate Blanchett, Benedict Cumberbatch,Adventure, Drama, Fantasy,Andy Serkis,,2018,False
tt1583421,G.I. Joe: Retaliation,110 min,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",PG-13,"188,198",32.013,5.7,29.0,41.0,130000000,371900000,True,Dwayne Johnson, Channing Tatum, Adrianne Palicki,Action, Adventure, Sci-Fi,Jon M. Chu,,2013,False
tt6902332,The Marksman,108 min,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",PG-13,"44,115",32.0,5.7,38.0,44.0,23000000,23076711,True,Katheryn Winnick, Liam Neeson, Teresa Ruiz,Action, Drama, Thriller,Robert Lorenz,,2021,False
tt14001894,Secret Headquarters,104 min,"While hanging out after school, Charlie and his friends discover the headquarters of the world’s most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.",PG,"8,010",31.991,5.2,45.0,47.0,0,0,False,Owen Wilson, Michael Peña, Walker Scobell,Action, Adventure, Comedy,Henry Joost, Ariel Schulman,2022,False
tt0120586,American History X,119 min,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",R,"1,199,539",30.55,8.5,84.0,62.0,20000000,23900000,True,Edward Norton, Edward Furlong, Beverly D'Angelo,Crime, Drama,,Tony Kaye,,1998,True
